paper,weightedAverage,decision
Paper1,7.0,Accept
Paper10,5.636363636363637,Reject
Paper100,5.6923076923076925,Reject
Paper1000,5.0,Reject
Paper1002,6.5,Accept
Paper1004,6.214285714285714,Accept
Paper1005,7.0,Accept
Paper1007,6.0,Accept
Paper1008,5.1875,Reject
Paper1009,4.3,Reject
Paper101,3.25,Reject
Paper1010,5.25,Reject
Paper1011,6.117647058823529,Accept
Paper1012,4.166666666666667,Reject
Paper1013,5.2105263157894735,Reject
Paper1014,4.933333333333334,Reject
Paper1015,7.25,Accept
Paper1017,5.555555555555555,Reject
Paper1018,8.0,Accept
Paper1019,7.0,Accept
Paper102,6.733333333333333,Accept
Paper1020,5.882352941176471,Accept
Paper1021,6.0,Accept
Paper1023,5.714285714285714,Reject
Paper1024,6.214285714285714,Accept
Paper1026,6.117647058823529,Accept
Paper1028,6.0625,Accept
Paper103,6.7368421052631575,Accept
Paper1030,6.533333333333333,Accept
Paper1031,5.75,Accept
Paper1033,5.470588235294118,Reject
Paper1036,4.533333333333333,Reject
Paper1037,4.9375,Reject
Paper1038,5.3125,Reject
Paper104,5.0,Reject
Paper1040,5.4,Reject
Paper1041,8.055555555555555,Accept
Paper1042,6.076923076923077,Accept
Paper1043,4.375,Reject
Paper1044,6.333333333333333,Accept
Paper1045,5.6,Reject
Paper1046,6.0,Accept
Paper1047,5.125,Reject
Paper1049,7.166666666666667,Accept
Paper105,4.642857142857143,Reject
Paper1050,5.0,Reject
Paper1051,5.909090909090909,Reject
Paper1052,6.0,Accept
Paper1053,5.0,Reject
Paper1055,5.571428571428571,Reject
Paper1056,8.083333333333334,Accept
Paper1057,6.5,Accept
Paper1058,5.75,Reject
Paper1059,6.125,Accept
Paper106,5.666666666666667,Reject
Paper1061,6.722222222222222,Accept
Paper1062,6.230769230769231,Reject
Paper1063,5.25,Reject
Paper1064,4.0,Reject
Paper1065,5.076923076923077,Reject
Paper1066,4.923076923076923,Reject
Paper1069,5.833333333333333,Reject
Paper107,6.0,Reject
Paper1070,4.166666666666667,Reject
Paper1071,5.785714285714286,Reject
Paper1072,5.545454545454546,Reject
Paper1073,5.7,Reject
Paper1074,5.636363636363637,Reject
Paper1075,5.0,Reject
Paper1076,4.470588235294118,Reject
Paper1077,5.7,Reject
Paper1078,5.642857142857143,Reject
Paper108,5.545454545454546,Reject
Paper1080,7.090909090909091,Accept
Paper1081,4.363636363636363,Reject
Paper1082,5.9375,Reject
Paper1083,5.0,Reject
Paper1087,7.55,Accept
Paper1088,6.555555555555555,Accept
Paper1091,4.5,Reject
Paper1092,4.25,Reject
Paper1094,4.176470588235294,Reject
Paper1095,6.545454545454546,Reject
Paper1096,5.266666666666667,Reject
Paper1098,5.384615384615385,Reject
Paper1099,4.923076923076923,Reject
Paper11,5.2,Reject
Paper110,6.266666666666667,Accept
Paper1100,2.9375,Reject
Paper1101,4.9411764705882355,Reject
Paper1102,5.0,Reject
Paper1103,4.461538461538462,Reject
Paper1104,4.0,Reject
Paper1105,4.2,Reject
Paper1106,3.642857142857143,Reject
Paper1107,6.4375,Accept
Paper1108,5.266666666666667,Reject
Paper1109,5.153846153846154,Reject
Paper111,5.3,Reject
Paper1111,4.636363636363637,Reject
Paper1112,4.428571428571429,Reject
Paper1113,6.363636363636363,Accept
Paper1115,7.705882352941177,Accept
Paper1116,6.666666666666667,Reject
Paper1117,4.928571428571429,Reject
Paper1118,4.3,Reject
Paper1120,5.285714285714286,Reject
Paper1121,5.428571428571429,Reject
Paper1122,7.117647058823529,Accept
Paper1123,6.636363636363637,Accept
Paper1124,5.857142857142857,Accept
Paper1125,5.4,Reject
Paper1126,7.357142857142857,Accept
Paper1127,6.7272727272727275,Accept
Paper1128,4.0,Reject
Paper1130,5.6875,Reject
Paper1131,5.214285714285714,Reject
Paper1132,4.4,Reject
Paper1133,4.0,Reject
Paper1134,6.1,Reject
Paper1135,5.9375,Accept
Paper1136,7.076923076923077,Accept
Paper1139,5.733333333333333,Accept
Paper114,5.157894736842105,Reject
Paper1140,5.785714285714286,Reject
Paper1142,3.8,Reject
Paper1143,5.470588235294118,Reject
Paper1144,5.714285714285714,Accept
Paper1145,4.9,Reject
Paper1147,5.066666666666666,Reject
Paper1148,6.071428571428571,Reject
Paper1149,6.4,Accept
Paper1152,4.0,Reject
Paper1154,5.333333333333333,Accept
Paper1155,5.846153846153846,Reject
Paper1156,5.733333333333333,Accept
Paper1157,5.142857142857143,Reject
Paper1158,6.25,Accept
Paper1159,3.6666666666666665,Reject
Paper1160,6.0,Reject
Paper1161,5.461538461538462,Reject
Paper1162,3.888888888888889,Reject
Paper1165,5.294117647058823,Reject
Paper1166,7.3,Accept
Paper1167,5.0625,Reject
Paper1168,5.571428571428571,Reject
Paper1169,7.266666666666667,Accept
Paper1170,5.363636363636363,Reject
Paper1172,4.714285714285714,Reject
Paper1173,5.5,Reject
Paper1174,5.923076923076923,Reject
Paper1175,5.333333333333333,Reject
Paper1176,5.7,Reject
Paper1177,4.0,Reject
Paper1178,6.466666666666667,Accept
Paper1180,4.3125,Reject
Paper1181,5.545454545454546,Reject
Paper1185,5.2,Reject
Paper1186,6.466666666666667,Accept
Paper1187,5.0588235294117645,Reject
Paper1188,6.0,Accept
Paper1189,7.466666666666667,Accept
Paper1190,4.875,Reject
Paper1191,5.0,Reject
Paper1192,6.785714285714286,Accept
Paper1193,3.0,Reject
Paper1194,6.666666666666667,Accept
Paper1195,4.5,Reject
Paper1197,7.2,Accept
Paper1198,4.0,Reject
Paper1199,5.846153846153846,Reject
Paper12,5.933333333333334,Accept
Paper120,4.3076923076923075,Reject
Paper1200,3.6470588235294117,Reject
Paper1201,6.769230769230769,Accept
Paper1202,5.75,Reject
Paper1203,5.733333333333333,Reject
Paper1204,5.857142857142857,Reject
Paper1205,6.125,Accept
Paper1206,5.9375,Reject
Paper1207,5.4375,Reject
Paper1208,5.866666666666666,Reject
Paper1209,5.642857142857143,Reject
Paper1210,5.235294117647059,Reject
Paper1211,6.777777777777778,Accept
Paper1212,4.0,Reject
Paper1214,4.933333333333334,Reject
Paper1215,5.071428571428571,Reject
Paper1218,6.75,Accept
Paper1220,2.5,Reject
Paper1221,5.714285714285714,Reject
Paper1222,6.0,Accept
Paper1223,6.666666666666667,Accept
Paper1227,6.2,Accept
Paper1228,5.0,Reject
Paper1229,3.8125,Reject
Paper123,4.866666666666666,Reject
Paper1230,3.6875,Reject
Paper1232,6.0,Reject
Paper1234,6.5,Accept
Paper1235,5.363636363636363,Reject
